tipo,discriminacao,url,formato,url_norm,domain,is_pdf,expected_content_type,parser_hint,priority_bucket
Artigo,Vias de fato e violência sexista,https://portal.tjpe.jus.br/comunicacao/-/asset_publisher/ubhL04hQXv5n/content/artigo-vias-de-fato-e-violencia-sexista,html,https://portal.tjpe.jus.br/comunicacao/-/asset_publisher/ubhL04hQXv5n/content/artigo-vias-de-fato-e-violencia-sexista,portal.tjpe.jus.br,False,text/html,html_readability_law,B
Artigo,Vítimas de violência doméstica devem ser atendidas por policiais mulheres,https://www.mpgo.mp.br/portal/conteudo/vitimas-de-violencia-domestica-devem-ser-atendidas-por-policiais-mulheres,html,https://www.mpgo.mp.br/portal/conteudo/vitimas-de-violencia-domestica-devem-ser-atendidas-por-policiais-mulheres,www.mpgo.mp.br,False,text/html,html_readability,B
Artigo,Quais as atribuições da autoridade policial segundo a Lei Maria da Penha?,https://www.tjmg.jus.br/portal-tjmg/perguntas-frequentes/quais-as-atribuicoes-da-autoridade-policial-segundo-a-lei-maria-da-penha.htm,html,https://www.tjmg.jus.br/portal-tjmg/perguntas-frequentes/quais-as-atribuicoes-da-autoridade-policial-segundo-a-lei-maria-da-penha.htm,www.tjmg.jus.br,False,text/html,html_readability_law,B
Artigo,"Violência contra a mulher, polícia civil e políticas públicas",https://pepsic.bvsalud.org/scielo.php?script=sci_arttext&pid=S1809-89082018000400003,html,https://pepsic.bvsalud.org/scielo.php?script=sci_arttext&pid=S1809-89082018000400003,pepsic.bvsalud.org,False,text/html,html_readability,C
Artigo,VIOLÊNCIA DOMÉSTICA - Informações úteis PCSP,https://www.policiacivil.sp.gov.br/portal/imagens/Cartilha%20sobre%20Viol%C3%AAncia%20Dom%C3%A9stica%20-%20SSP-SP.pdf,pdf,https://www.policiacivil.sp.gov.br/portal/imagens/Cartilha%20sobre%20Viol%C3%AAncia%20Dom%C3%A9stica%20-%20SSP-SP.pdf,www.policiacivil.sp.gov.br,True,application/pdf,pdf_text_pymupdf,B
Artigo,Atendimento à Mulher pela Autoridade Policial,https://trilhante.com.br/curso/lei-maria-da-penha-2/aula/atendimento-a-mulher-pela-autoridade-policial-1?viewtype=pdf,pdf,https://trilhante.com.br/curso/lei-maria-da-penha-2/aula/atendimento-a-mulher-pela-autoridade-policial-1?viewtype=pdf,trilhante.com.br,True,application/pdf,pdf_text_pymupdf,C
Artigo,Aspectos Gerais da Lei Maria da Penha,https://trilhante.com.br/curso/lei-maria-da-penha-2/aula/aspectos-gerais-da-lei-maria-da-penha-4?viewtype=pdf,pdf,https://trilhante.com.br/curso/lei-maria-da-penha-2/aula/aspectos-gerais-da-lei-maria-da-penha-4?viewtype=pdf,trilhante.com.br,True,application/pdf,pdf_text_pymupdf,C
Artigo,Assistência à Mulher Vítima de Violência Doméstica,https://trilhante.com.br/curso/lei-maria-da-penha-2/aula/assistencia-a-mulher-vitima-de-violencia-domestica-1?viewtype=pdf,pdf,https://trilhante.com.br/curso/lei-maria-da-penha-2/aula/assistencia-a-mulher-vitima-de-violencia-domestica-1?viewtype=pdf,trilhante.com.br,True,application/pdf,pdf_text_pymupdf,C
Artigo,Juizado de Violência Doméstica e Familiar,https://trilhante.com.br/curso/lei-maria-da-penha-2/aula/juizado-de-violencia-domestica-e-familiar-1?viewtype=pdf,pdf,https://trilhante.com.br/curso/lei-maria-da-penha-2/aula/juizado-de-violencia-domestica-e-familiar-1?viewtype=pdf,trilhante.com.br,True,application/pdf,pdf_text_pymupdf,C
Artigo,Medidas Protetivas de Urgência,https://trilhante.com.br/curso/lei-maria-da-penha-2/aula/medidas-protetivas-de-urgencia-4?viewtype=pdf,pdf,https://trilhante.com.br/curso/lei-maria-da-penha-2/aula/medidas-protetivas-de-urgencia-4?viewtype=pdf,trilhante.com.br,True,application/pdf,pdf_text_pymupdf,C
